ID,Athlete Name,Sex,Age,Height,Weight,Team,NOC,Year,City,Sport,Event,Medal,Season
4723,Sabine Appelmans (-Haubourdin),F,24.0,169.0,60.0,Belgium,BEL,1996,Atlanta,Tennis,Tennis Women's Singles,,summer
4723,Sabine Appelmans (-Haubourdin),F,24.0,169.0,60.0,Belgium,BEL,1996,Atlanta,Tennis,Tennis Women's Doubles,,summer
7620,Olga Vladimirovna Barabanshchikova,F,16.0,176.0,60.0,Belarus,BLR,1996,Atlanta,Tennis,Tennis Women's Singles,,summer
7620,Olga Vladimirovna Barabanshchikova,F,16.0,176.0,60.0,Belarus,BLR,1996,Atlanta,Tennis,Tennis Women's Doubles,,summer
8522,"Nani Rahayu ""Yayuk"" Basuki-Suharyadi",F,25.0,165.0,55.0,Indonesia,INA,1996,Atlanta,Tennis,Tennis Women's Singles,,summer
8522,"Nani Rahayu ""Yayuk"" Basuki-Suharyadi",F,25.0,165.0,55.0,Indonesia,INA,1996,Atlanta,Tennis,Tennis Women's Doubles,,summer
12991,Manon Maria Bollegraf,F,32.0,173.0,64.0,Netherlands,NED,1996,Atlanta,Tennis,Tennis Women's Doubles,,summer
17151,Paula Andrea Cabezas S.,F,23.0,,,Chile,CHI,1996,Atlanta,Tennis,Tennis Women's Doubles,,summer
18987,Brbara Castro Daz,F,20.0,,,Chile,CHI,1996,Atlanta,Tennis,Tennis Women's Doubles,,summer
20232,Chen Li,F,25.0,165.0,60.0,China,CHN,1996,Atlanta,Tennis,Tennis Women's Singles,,summer
20232,Chen Li,F,25.0,165.0,60.0,China,CHN,1996,Atlanta,Tennis,Tennis Women's Doubles,,summer
21081,Choi Yeong-Ja,F,21.0,170.0,62.0,South Korea,KOR,1996,Atlanta,Tennis,Tennis Women's Singles,,summer
22231,Amanda Coetzer,F,24.0,157.0,53.0,South Africa,RSA,1996,Atlanta,Tennis,Tennis Women's Singles,,summer
22231,Amanda Coetzer,F,24.0,157.0,53.0,South Africa,RSA,1996,Atlanta,Tennis,Tennis Women's Doubles,,summer
23487,Laurence Courtois (-Crols),F,25.0,172.0,61.0,Belgium,BEL,1996,Atlanta,Tennis,Tennis Women's Singles,,summer
23487,Laurence Courtois (-Crols),F,25.0,172.0,61.0,Belgium,BEL,1996,Atlanta,Tennis,Tennis Women's Doubles,,summer
23827,Ctlina Cristea,F,21.0,173.0,56.0,Romania,ROU,1996,Atlanta,Tennis,Tennis Women's Singles,,summer
24144,Virg Csurg (-Tamas),F,23.0,172.0,63.0,Hungary,HUN,1996,Atlanta,Tennis,Tennis Women's Singles,,summer
24144,Virg Csurg (-Tamas),F,23.0,172.0,63.0,Hungary,HUN,1996,Atlanta,Tennis,Tennis Women's Doubles,,summer
24583,Miriam D'Agostini,F,17.0,164.0,56.0,Brazil,BRA,1996,Atlanta,Tennis,Tennis Women's Doubles,,summer
25480,Kimiko Date (-Krumm),F,25.0,164.0,52.0,Japan,JPN,1996,Atlanta,Tennis,Tennis Women's Singles,,summer
25544,Lindsay Ann Davenport,F,20.0,191.0,79.0,United States,USA,1996,Atlanta,Tennis,Tennis Women's Singles,Gold,summer
26708,Mariaan de Swardt,F,25.0,177.0,77.0,South Africa,RSA,1996,Atlanta,Tennis,Tennis Women's Singles,,summer
26708,Mariaan de Swardt,F,25.0,177.0,77.0,South Africa,RSA,1996,Atlanta,Tennis,Tennis Women's Doubles,,summer
29884,Ruxandra Maria Dragomir (-Ilie),F,23.0,170.0,58.0,Romania,ROU,1996,Atlanta,Tennis,Tennis Women's Singles,,summer
34066,Silvia Farina-Elia,F,24.0,171.0,62.0,Italy,ITA,1996,Atlanta,Tennis,Tennis Women's Singles,,summer
34066,Silvia Farina-Elia,F,24.0,171.0,62.0,Italy,ITA,1996,Atlanta,Tennis,Tennis Women's Doubles,,summer
34819,"Beatriz Cristina ""Gigi"" Fernandez",F,32.0,170.0,66.0,United States,USA,1996,Atlanta,Tennis,Tennis Women's Doubles,Gold,summer
34864,"Maria Jose ""Mary Joe"" Fernandez (-Godsick)",F,24.0,176.0,63.0,United States,USA,1996,Atlanta,Tennis,Tennis Women's Singles,,summer
34864,"Maria Jose ""Mary Joe"" Fernandez (-Godsick)",F,24.0,176.0,63.0,United States,USA,1996,Atlanta,Tennis,Tennis Women's Doubles,Gold,summer
39133,Anglica Gavaldn Loaiza (-Verdieck),F,22.0,160.0,54.0,Mexico,MEX,1996,Atlanta,Tennis,Tennis Women's Singles,,summer
41096,Laura Golarsa,F,28.0,165.0,56.0,Italy,ITA,1996,Atlanta,Tennis,Tennis Women's Doubles,,summer
41908,Ins Gorrochategui,F,23.0,169.0,58.0,Argentina,ARG,1996,Atlanta,Tennis,Tennis Women's Singles,,summer
42361,Rita Grande,F,21.0,176.0,68.0,Italy,ITA,1996,Atlanta,Tennis,Tennis Women's Singles,,summer
43384,Magdalena Maria Grzybowska,F,17.0,184.0,66.0,Poland,POL,1996,Atlanta,Tennis,Tennis Women's Singles,,summer
43384,Magdalena Maria Grzybowska,F,17.0,184.0,66.0,Poland,POL,1996,Atlanta,Tennis,Tennis Women's Doubles,,summer
44540,Karina Habudov (-Clekov),F,22.0,170.0,60.0,Slovakia,SVK,1996,Atlanta,Tennis,Tennis Women's Singles,,summer
44540,Karina Habudov (-Clekov),F,22.0,170.0,60.0,Slovakia,SVK,1996,Atlanta,Tennis,Tennis Women's Doubles,,summer
48292,"Gilliam ""Jill"" Hetherington (-Hultquist)",F,31.0,178.0,68.0,Canada,CAN,1996,Atlanta,Tennis,Tennis Women's Doubles,,summer
48700,Martina Hingis (-Hutin),F,15.0,170.0,59.0,Switzerland,SUI,1996,Atlanta,Tennis,Tennis Women's Singles,,summer
48700,Martina Hingis (-Hutin),F,15.0,170.0,59.0,Switzerland,SUI,1996,Atlanta,Tennis,Tennis Women's Doubles,,summer
50696,Anke Huber,F,22.0,173.0,58.0,Germany,GER,1996,Atlanta,Tennis,Tennis Women's Singles,,summer
51405,Patricia Hy-Boulais,F,30.0,163.0,58.0,Canada,CAN,1996,Atlanta,Tennis,Tennis Women's Singles,,summer
51405,Patricia Hy-Boulais,F,30.0,163.0,58.0,Canada,CAN,1996,Atlanta,Tennis,Tennis Women's Doubles,,summer
59855,Kim Eun-Ha,F,21.0,173.0,62.0,South Korea,KOR,1996,Atlanta,Tennis,Tennis Women's Doubles,,summer
63301,Anna Sergeyevna Kournikova,F,15.0,173.0,56.0,Russia,RUS,1996,Atlanta,Tennis,Tennis Women's Singles,,summer
63301,Anna Sergeyevna Kournikova,F,15.0,173.0,56.0,Russia,RUS,1996,Atlanta,Tennis,Tennis Women's Doubles,,summer
63965,Anne Kremer,F,20.0,165.0,55.0,Luxembourg,LUX,1996,Atlanta,Tennis,Tennis Women's Singles,,summer
64331,Joannette Kruger,F,22.0,179.0,59.0,South Africa,RSA,1996,Atlanta,Tennis,Tennis Women's Singles,,summer
65643,Mara Florencia Labat,F,25.0,170.0,64.0,Argentina,ARG,1996,Atlanta,Tennis,Tennis Women's Singles,,summer
66039,Valda Lake,F,27.0,173.0,61.0,Great Britain,GBR,1996,Atlanta,Tennis,Tennis Women's Doubles,,summer
69843,Yelena Aleksandrovna Likhovtseva,F,20.0,174.0,60.0,Russia,RUS,1996,Atlanta,Tennis,Tennis Women's Singles,,summer
73769,Iva Majoli (-Mari),F,18.0,176.0,60.0,Croatia,CRO,1996,Atlanta,Tennis,Tennis Women's Singles,,summer
73769,Iva Majoli (-Mari),F,18.0,176.0,60.0,Croatia,CRO,1996,Atlanta,Tennis,Tennis Women's Doubles,,summer
73824,Yelena Alekseyevna Makarova,F,23.0,179.0,65.0,Russia,RUS,1996,Atlanta,Tennis,Tennis Women's Singles,,summer
73824,Yelena Alekseyevna Makarova,F,23.0,179.0,65.0,Russia,RUS,1996,Atlanta,Tennis,Tennis Women's Doubles,,summer
74011,Katerina Georgieva Maleeva (-Stoimenova),F,27.0,167.0,55.0,Bulgaria,BUL,1996,Atlanta,Tennis,Tennis Women's Doubles,,summer
74012,"Magdalena Georgieva ""Maggy"" Maleeva",F,21.0,168.0,59.0,Bulgaria,BUL,1996,Atlanta,Tennis,Tennis Women's Singles,,summer
74012,"Magdalena Georgieva ""Maggy"" Maleeva",F,21.0,168.0,59.0,Bulgaria,BUL,1996,Atlanta,Tennis,Tennis Women's Doubles,,summer
75706,Conchita Martnez Bernat,F,24.0,170.0,59.0,Spain,ESP,1996,Atlanta,Tennis,Tennis Women's Singles,,summer
75706,Conchita Martnez Bernat,F,24.0,170.0,59.0,Spain,ESP,1996,Atlanta,Tennis,Tennis Women's Doubles,Bronze,summer
77952,Rachel Jane McQuillan,F,24.0,174.0,61.0,Australia,AUS,1996,Atlanta,Tennis,Tennis Women's Singles,,summer
